# CAI-01: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) January 26, 2022","99,984","102,648","105,378","108,195","111,086"
"A) January 26, 2023","103,483","106,241","109,066","111,982","114,974"
"X) January 26, 2023 – wage adjustment","104,777","107,569","110,429","113,382","116,411"
"B) January 26, 2024","107,920","110,796","113,742","116,783","119,903"
"Y) January 26, 2024 – wage adjustment","108,460","111,350","114,311","117,367","120,503"
"C) January 26, 2025","110,629","113,577","116,597","119,714","122,913"
"Z) January 26, 2025 – wage adjustment","110,906","113,861","116,888","120,013","123,220"
"D) January 26, 2026","113,124","116,138","119,226","122,413","125,684"

# CAI-02: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) January 26, 2022","106,851","109,707","112,648","115,665","118,771","121,964",Not applicable
"A) January 26, 2023","110,591","113,547","116,591","119,713","122,928","126,233",Not applicable
"X) January 26, 2023 – wage adjustment","111,973","114,966","118,048","121,209","124,465","127,811",Not applicable
"R) January 26, 2023 – restructure","111,973","114,966","118,048","121,209","124,465","127,811","131,326"
"B) January 26, 2024","115,332","118,415","121,589","124,845","128,199","131,645","135,265"
"Y) January 26, 2024 – wage adjustment","115,909","119,007","122,197","125,469","128,840","132,303","135,941"
"C) January 26, 2025","118,227","121,387","124,641","127,978","131,417","134,949","138,660"
"Z) January 26, 2025 – wage adjustment","118,523","121,690","124,953","128,298","131,746","135,286","139,006"
"D) January 26, 2026","120,893","124,124","127,452","130,864","134,381","137,992","141,787"

# CAI-03: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) January 26, 2022","113,880","116,936","120,077","123,311","126,635","130,055","133,570"
"A) January 26, 2023","117,866","121,029","124,280","127,627","131,067","134,607","138,245"
"X) January 26, 2023 – wage adjustment","119,339","122,542","125,834","129,222","132,705","136,290","139,973"
"B) January 26, 2024","122,919","126,218","129,609","133,099","136,686","140,379","144,172"
"Y) January 26, 2024 – wage adjustment","123,534","126,849","130,257","133,764","137,369","141,081","144,893"
"C) January 26, 2025","126,005","129,386","132,862","136,439","140,116","143,903","147,791"
"Z) January 26, 2025 – wage adjustment","126,320","129,709","133,194","136,780","140,466","144,263","148,160"
"D) January 26, 2026","128,846","132,303","135,858","139,516","143,275","147,148","151,123"

# CAI-04: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) January 26, 2022","120,741","123,997","127,338","130,774","134,312","137,945","141,688"
"A) January 26, 2023","124,967","128,337","131,795","135,351","139,013","142,773","146,647"
"X) January 26, 2023 – wage adjustment","126,529","129,941","133,442","137,043","140,751","144,558","148,480"
"B) January 26, 2024","130,325","133,839","137,445","141,154","144,974","148,895","152,934"
"Y) January 26, 2024 – wage adjustment","130,977","134,508","138,132","141,860","145,699","149,639","153,699"
"C) January 26, 2025","133,597","137,198","140,895","144,697","148,613","152,632","156,773"
"Z) January 26, 2025 – wage adjustment","133,931","137,541","141,247","145,059","148,985","153,014","157,165"
"D) January 26, 2026","136,610","140,292","144,072","147,960","151,965","156,074","160,308"

# CAI-05: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) January 26, 2022","129,866","133,372","136,988","140,707","144,524","148,453","152,489"
"A) January 26, 2023","134,411","138,040","141,783","145,632","149,582","153,649","157,826"
"X) January 26, 2023 – wage adjustment","136,091","139,766","143,555","147,452","151,452","155,570","159,799"
"B) January 26, 2024","140,174","143,959","147,862","151,876","155,996","160,237","164,593"
"Y) January 26, 2024 – wage adjustment","140,875","144,679","148,601","152,635","156,776","161,038","165,416"
"C) January 26, 2025","143,693","147,573","151,573","155,688","159,912","164,259","168,724"
"Z) January 26, 2025 – wage adjustment","144,052","147,942","151,952","156,077","160,312","164,670","169,146"
"D) January 26, 2026","146,933","150,901","154,991","159,199","163,518","167,963","172,529"

# ETP-01: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) January 26, 2022","140,252","144,056","147,973","151,971","156,113","160,378",Not applicable
"A) January 26, 2023","145,161","149,098","153,152","157,290","161,577","165,991",Not applicable
"X) January 26, 2023 – wage adjustment","146,976","150,962","155,066","159,256","163,597","168,066",Not applicable
"R) January 26, 2023 – restructure","146,976","150,962","155,066","159,256","163,597","168,066","172,688"
"B) January 26, 2024","151,385","155,491","159,718","164,034","168,505","173,108","177,868"
"Y) January 26, 2024 – wage adjustment","152,142","156,268","160,517","164,854","169,348","173,974","178,758"
"C) January 26, 2025","155,185","159,393","163,727","168,151","172,735","177,453","182,333"
"Z) January 26, 2025 – wage adjustment","155,573","159,791","164,136","168,571","173,167","177,897","182,789"
"D) January 26, 2026","158,684","162,987","167,419","171,942","176,630","181,455","186,445"

# HPS-01: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) January 26, 2022","109,592","111,988","115,066","118,147","121,322",Not applicable,Not applicable
"A) January 26, 2023","113,428","115,908","119,093","122,282","125,568",Not applicable,Not applicable
"X) January 26, 2023 – wage adjustment","114,846","117,357","120,582","123,811","127,138",Not applicable,Not applicable
"R) January 26, 2023 – restructure","114,846","117,357","120,582","123,811","127,138","130,634","134,227"
"B) January 26, 2024","118,291","120,878","124,199","127,525","130,952","134,553","138,253"
"Y) January 26, 2024 – wage adjustment","118,882","121,482","124,820","128,163","131,607","135,226","138,945"
"C) January 26, 2025","121,260","123,912","127,316","130,726","134,239","137,931","141,724"
"Z) January 26, 2025 – wage adjustment","121,563","124,222","127,634","131,053","134,575","138,276","142,078"
"D) January 26, 2026","123,994","126,706","130,187","133,674","137,267","141,042","144,920"

# HPS-02: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) January 26, 2022","114,297","117,175","120,456","123,737","127,073",Not applicable,Not applicable
"A) January 26, 2023","118,297","121,276","124,672","128,068","131,521",Not applicable,Not applicable
