# CO-DEV/PER: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Range
"$) June 22, 2021","31,171 to 66,829 ($10 increments)"
"A) June 22, 2022","32,262 to 69,168 ($10 increments)"
"X) June 22, 2022 – Wage adjustment","32,665 to 70,033 ($10 increments)"
"B) June 22, 2023","33,645 to 72,134 ($10 increments)"
"Y) June 22, 2023 – Pay-line adjustment","33,813 to 72,495 ($10 increments)"
"C) June 22, 2024","34,489 to 73,945 ($10 increments)"
"Z) June 22, 2024 – Wage adjustment","34,575 to 74,130 ($10 increments)"
"D) June 22, 2025","35,267 to 75,613 ($10 increments)"

# CO-01: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) June 22, 2021","61,472","64,239","67,018","69,778","72,553","75,326","78,093","80,867"
"A) June 22, 2022","63,624","66,487","69,364","72,220","75,092","77,962","80,826","83,697"
"X) June 22, 2022 – Wage adjustment","64,419","67,318","70,231","73,123","76,031","78,937","81,836","84,743"
"B) June 22, 2023","66,352","69,338","72,338","75,317","78,312","81,305","84,291","87,285"
"Y) June 22, 2023 – Pay-line adjustment","66,684","69,685","72,700","75,694","78,704","81,712","84,712","87,721"
"C) June 22, 2024","68,018","71,079","74,154","77,208","80,278","83,346","86,406","89,475"
"Z) June 22, 2024 – Wage adjustment","68,188","71,257","74,339","77,401","80,479","83,554","86,622","89,699"
"D) June 22, 2025","69,552","72,682","75,826","78,949","82,089","85,225","88,354","91,493"

# CO-02: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) June 22, 2021","79,516","83,449","87,388","91,318","95,255","99,182"
"A) June 22, 2022","82,299","86,370","90,447","94,514","98,589","102,653"
"X) June 22, 2022 – Wage adjustment","83,328","87,450","91,578","95,695","99,821","103,936"
"B) June 22, 2023","85,828","90,074","94,325","98,566","102,816","107,054"
"Y) June 22, 2023 – Pay-line adjustment","86,257","90,524","94,797","99,059","103,330","107,589"
"C) June 22, 2024","87,982","92,334","96,693","101,040","105,397","109,741"
"Z) June 22, 2024 – Wage adjustment","88,202","92,565","96,935","101,293","105,660","110,015"
"D) June 22, 2025","89,966","94,416","98,874","103,319","107,773","112,215"

# CO-02: annual rates of pay (in dollars) (continued)
# Section: Appendix “A”
Effective date,Step 7,Step 8,Step 9
"$) June 22, 2021","103,131","107,063","113,222"
"A) June 22, 2022","106,741","110,810","117,185"
"X) June 22, 2022 – Wage adjustment","108,075","112,195","118,650"
"B) June 22, 2023","111,317","115,561","122,210"
"Y) June 22, 2023 – Pay-line adjustment","111,874","116,139","122,821"
"C) June 22, 2024","114,111","118,462","125,277"
"Z) June 22, 2024 – Wage adjustment","114,396","118,758","125,590"
"D) June 22, 2025","116,684","121,133","128,102"

# CO-03: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) June 22, 2021","98,709","103,169","107,626","112,081","116,539","120,731","124,924"
"A) June 22, 2022","102,164","106,780","111,393","116,004","120,618","124,957","129,296"
"X) June 22, 2022 – Wage adjustment","103,441","108,115","112,785","117,454","122,126","126,519","130,912"
"B) June 22, 2023","106,544","111,358","116,169","120,978","125,790","130,315","134,839"
"Y) June 22, 2023 – Pay-line adjustment","107,077","111,915","116,750","121,583","126,419","130,967","135,513"
"C) June 22, 2024","109,219","114,153","119,085","124,015","128,947","133,586","138,223"
"Z) June 22, 2024 – Wage adjustment","109,492","114,438","119,383","124,325","129,269","133,920","138,569"
"D) June 22, 2025","111,682","116,727","121,771","126,812","131,854","136,598","141,340"

# CO-04: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) June 22, 2021","112,202","117,011","121,534","126,052","130,574","135,091"
"A) June 22, 2022","116,129","121,106","125,788","130,464","135,144","139,819"
"X) June 22, 2022 – Wage adjustment","117,581","122,620","127,360","132,095","136,833","141,567"
"B) June 22, 2023","121,108","126,299","131,181","136,058","140,938","145,814"
"Y) June 22, 2023 – Pay-line adjustment","121,714","126,930","131,837","136,738","141,643","146,543"
"C) June 22, 2024","124,148","129,469","134,474","139,473","144,476","149,474"
"Z) June 22, 2024 – Wage adjustment","124,458","129,793","134,810","139,822","144,837","149,848"
"D) June 22, 2025","126,947","132,389","137,506","142,618","147,734","152,845"

# PG-01: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) June 22, 2021","47,415","49,735","52,046","54,357","56,675","58,988","62,066"
"A) June 22, 2022","49,075","51,476","53,868","56,259","58,659","61,053","64,238"
"X) June 22, 2022 – Wage adjustment","49,688","52,119","54,541","56,962","59,392","61,816","65,041"
"B) June 22, 2023","51,179","53,683","56,177","58,671","61,174","63,670","66,992"
"Y) June 22, 2023 – Pay-line adjustment","51,435","53,951","56,458","58,964","61,480","63,988","67,327"
"C) June 22, 2024","52,464","55,030","57,587","60,143","62,710","65,268","68,674"
"Z) June 22, 2024 – Wage adjustment","52,595","55,168","57,731","60,293","62,867","65,431","68,846"
"D) June 22, 2025","53,647","56,271","58,886","61,499","64,124","66,740","70,223"

# PG-02: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","61,896","64,536","67,164","70,668"
"A) June 22, 2022","64,062","66,795","69,515","73,141"
"X) June 22, 2022 – Wage adjustment","64,863","67,630","70,384","74,055"
"B) June 22, 2023","66,809","69,659","72,496","76,277"
"Y) June 22, 2023 – Pay-line adjustment","67,143","70,007","72,858","76,658"
"C) June 22, 2024","68,486","71,407","74,315","78,191"
"Z) June 22, 2024 – Wage adjustment","68,657","71,586","74,501","78,386"
"D) June 22, 2025","70,030","73,018","75,991","79,954"

# PG-03: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","68,909","71,849","74,784","78,691"
"A) June 22, 2022","71,321","74,364","77,401","81,445"
"X) June 22, 2022 – Wage adjustment","72,213","75,294","78,369","82,463"
"B) June 22, 2023","74,379","77,553","80,720","84,937"
"Y) June 22, 2023 – Pay-line adjustment","74,751","77,941","81,124","85,362"
"C) June 22, 2024","76,246","79,500","82,746","87,069"
"Z) June 22, 2024 – Wage adjustment","76,437","79,699","82,953","87,287"
"D) June 22, 2025","77,966","81,293","84,612","89,033"

# PG-04: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","81,747","85,251","88,754","93,413"
"A) June 22, 2022","84,608","88,235","91,860","96,682"
"X) June 22, 2022 – Wage adjustment","85,666","89,338","93,008","97,891"
"B) June 22, 2023","88,236","92,018","95,798","100,828"
"Y) June 22, 2023 – Pay-line adjustment","88,677","92,478","96,277","101,332"
"C) June 22, 2024","90,451","94,328","98,203","103,359"
"Z) June 22, 2024 – Wage adjustment","90,677","94,564","98,449","103,617"
"D) June 22, 2025","92,491","96,455","100,418","105,689"

# PG-05: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","96,225","100,357","104,228","108,091"
"A) June 22, 2022","99,593","103,869","107,876","111,874"
"X) June 22, 2022 – Wage adjustment","100,838","105,167","109,224","113,272"
"B) June 22, 2023","103,863","108,322","112,501","116,670"
"Y) June 22, 2023 – Pay-line adjustment","104,382","108,864","113,064","117,253"
"C) June 22, 2024","106,470","111,041","115,325","119,598"
"Z) June 22, 2024 – Wage adjustment","106,736","111,319","115,613","119,897"
"D) June 22, 2025","108,871","113,545","117,925","122,295"

# PG-06: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","105,991","109,913","113,822","117,731"
"A) June 22, 2022","109,701","113,760","117,806","121,852"
"X) June 22, 2022 – Wage adjustment","111,072","115,182","119,279","123,375"
"B) June 22, 2023","114,404","118,637","122,857","127,076"
"Y) June 22, 2023 – Pay-line adjustment","114,976","119,230","123,471","127,711"
"C) June 22, 2024","117,276","121,615","125,940","130,265"
"Z) June 22, 2024 – Wage adjustment","117,569","121,919","126,255","130,591"
"D) June 22, 2025","119,920","124,357","128,780","133,203"
Performance Pay - to apply to employees subject to the Performance Pay Regulations

# SPS‑PUR-01: annual rates of pay (in dollars)
# Section: Appendix “H” Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) June 22, 2021","47,415","49,735","52,046","54,357","56,675","58,988","62,066"
"A) June 22, 2022","49,075","51,476","53,868","56,259","58,659","61,053","64,238"
"X) June 22, 2022 – wage adjustment","49,688","52,119","54,541","56,962","59,392","61,816","65,041"
"B) June 22, 2023","51,179","53,683","56,177","58,671","61,174","63,670","66,992"
"Y) June 22, 2023 – pay line adjustment","51,435","53,951","56,458","58,964","61,480","63,988","67,327"
"C) June 22, 2024","52,464","55,030","57,587","60,143","62,710","65,268","68,674"
"Z) June 22, 2024 – wage adjustment","52,595","55,168","57,731","60,293","62,867","65,431","68,846"
"D) June 22, 2025","53,647","56,271","58,886","61,499","64,124","66,740","70,223"

# SPS‑PUR-02: annual rates of pay (in dollars)
# Section: Appendix “H” Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","61,896","64,536","67,164","70,668"
"A) June 22, 2022","64,062","66,795","69,515","73,141"
"X) June 22, 2022 – wage adjustment","64,863","67,630","70,384","74,055"
"B) June 22, 2023","66,809","69,659","72,496","76,277"
"Y) June 22, 2023 – pay line adjustment","67,143","70,007","72,858","76,658"
"C) June 22, 2024","68,486","71,407","74,315","78,191"
"Z) June 22, 2024 – wage adjustment","68,657","71,586","74,501","78,386"
"D) June 22, 2025","70,030","73,018","75,991","79,954"

# SPS‑PUR-03: annual rates of pay (in dollars)
# Section: Appendix “H” Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","68,909","71,849","74,784","78,691"
"A) June 22, 2022","71,321","74,364","77,401","81,445"
"X) June 22, 2022 – wage adjustment","72,213","75,294","78,369","82,463"
"B) June 22, 2023","74,379","77,553","80,720","84,937"
"Y) June 22, 2023 – pay line adjustment","74,751","77,941","81,124","85,362"
"C) June 22, 2024","76,246","79,500","82,746","87,069"
"Z) June 22, 2024 – wage adjustment","76,437","79,699","82,953","87,287"
"D) June 22, 2025","77,966","81,293","84,612","89,033"

# SPS‑PUR-04: annual rates of pay (in dollars)
# Section: Appendix “H” Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","81,747","85,251","88,754","93,413"
"A) June 22, 2022","84,608","88,235","91,860","96,682"
"X) June 22, 2022 – wage adjustment","85,666","89,338","93,008","97,891"
"B) June 22, 2023","88,236","92,018","95,798","100,828"
"Y) June 22, 2023 – pay line adjustment","88,677","92,478","96,277","101,332"
"C) June 22, 2024","90,451","94,328","98,203","103,359"
"Z) June 22, 2024 – wage adjustment","90,677","94,564","98,449","103,617"
"D) June 22, 2025","92,491","96,455","100,418","105,689"

# SPS‑PUR-05: annual rates of pay (in dollars)
# Section: Appendix “H” Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","96,225","100,357","104,228","108,091"
"A) June 22, 2022","99,593","103,869","107,876","111,874"
"X) June 22, 2022 – wage adjustment","100,838","105,167","109,224","113,272"
"B) June 22, 2023","103,863","108,322","112,501","116,670"
"Y) June 22, 2023 – pay line adjustment","104,382","108,864","113,064","117,253"
"C) June 22, 2024","106,470","111,041","115,325","119,598"
"Z) June 22, 2024 – wage adjustment","106,736","111,319","115,613","119,897"
"D) June 22, 2025","108,871","113,545","117,925","122,295"

# SPS‑PUR-06: annual rates of pay (in dollars)
# Section: Appendix “H” Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4
"$) June 22, 2021","105,991","109,913","113,822","117,731"
"A) June 22, 2022","109,701","113,760","117,806","121,852"
"X) June 22, 2022 – wage adjustment","111,072","115,182","119,279","123,375"
"B) June 22, 2023","114,404","118,637","122,857","127,076"
"Y) June 22, 2023 – pay line adjustment","114,976","119,230","123,471","127,711"
"C) June 22, 2024","117,276","121,615","125,940","130,265"
"Z) June 22, 2024 – wage adjustment","117,569","121,919","126,255","130,591"
