# EC-01 - Annual Rates of Pay (in dollars)
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","55,567","57,508","59,527","62,441","64,597"
"A) June 22, 2022","57,512","59,521","61,610","64,626","66,858"
"X) June 22, 2022 - Wage Adjustment","58,231","60,265","62,380","65,434","67,694"
"B) June 22, 2023","59,978","62,073","64,251","67,397","69,725"
"Y) June 22, 2023 - Pay Line Adjustment","60,278","62,383","64,572","67,734","70,074"
"C) June 22, 2024","61,484","63,631","65,863","69,089","71,475"
"Z) June 22, 2024 - Wage Adjustment","61,638","63,790","66,028","69,262","71,654"
"D) June 22, 2025","62,871","65,066","67,349","70,647","73,087"

# EC-02 - Annual Rates of Pay (in dollars)
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","62,168","63,675","65,905","68,898","71,275"
"A) June 22, 2022","64,344","65,904","68,212","71,309","73,770"
"X) June 22, 2022 - Wage Adjustment","65,148","66,728","69,065","72,200","74,692"
"B) June 22, 2023","67,102","68,730","71,137","74,366","76,933"
"Y) June 22, 2023 - Pay Line Adjustment","67,438","69,074","71,493","74,738","77,318"
"C) June 22, 2024","68,787","70,455","72,923","76,233","78,864"
"Z) June 22, 2024 - Wage Adjustment","68,959","70,631","73,105","76,424","79,061"
"D) June 22, 2025","70,338","72,044","74,567","77,952","80,642"

# EC-03 - Annual Rates of Pay (in dollars)
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","68,666","70,623","72,581","75,105","77,696"
"A) June 22, 2022","71,069","73,095","75,121","77,734","80,415"
"X) June 22, 2022 - Wage Adjustment","71,957","74,009","76,060","78,706","81,420"
"B) June 22, 2023","74,116","76,229","78,342","81,067","83,863"
"Y) June 22, 2023 - Pay Line Adjustment","74,487","76,610","78,734","81,472","84,282"
"C) June 22, 2024","75,977","78,142","80,309","83,101","85,968"
"Z) June 22, 2024 - Wage Adjustment","76,167","78,337","80,510","83,309","86,183"
"D) June 22, 2025","77,690","79,904","82,120","84,975","87,907"

# EC-04 - Annual Rates of Pay (in dollars)
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","74,122","76,658","79,309","82,916","85,778"
"A) June 22, 2022","76,716","79,341","82,085","85,818","88,780"
"X) June 22, 2022 - Wage Adjustment","77,675","80,333","83,111","86,891","89,890"
"B) June 22, 2023","80,005","82,743","85,604","89,498","92,587"
"Y) June 22, 2023 - Pay Line Adjustment","80,405","83,157","86,032","89,945","93,050"
"C) June 22, 2024","82,013","84,820","87,753","91,744","94,911"
"Z) June 22, 2024 - Wage Adjustment","82,218","85,032","87,972","91,973","95,148"
"D) June 22, 2025","83,862","86,733","89,731","93,812","97,051"

# EC-05 - Annual Rates of Pay (in dollars)
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","88,618","91,323","94,307","98,600","101,999"
"A) June 22, 2022","91,720","94,519","97,608","102,051","105,569"
