# EL-01: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021","37,807","39,565","41,339","43,107","44,879"
"A) September 1, 2022","39,130","40,950","42,786","44,616","46,450"
"X) September 1, 2022 - Wage Adjustment","39,619","41,462","43,321","45,174","47,031"
"B) September 1, 2023","40,808","42,706","44,621","46,529","48,442"
"Y) September 1, 2023 - Market Adjustment","41,012","42,920","44,844","46,762","48,684"
"C) September 1, 2024","41,832","43,778","45,741","47,697","49,658"
"Z) September 1, 2024 - Wage Adjustment","41,937","43,887","45,855","47,816","49,782"
"D) September 1, 2025","42,776","44,765","46,772","48,772","50,778"

# EL-01: annual rates of pay (in dollars): continuation
# Section: Appendix “B‑1”
Effective date,Step 6,Step 7,Step 8,Step 9,Step 10
"$) September 1, 2021","46,645","48,410","50,174","51,936","55,646"
"A) September 1, 2022","48,278","50,104","51,930","53,754","57,594"
"X) September 1, 2022 - Wage Adjustment","48,881","50,730","52,579","54,426","58,314"
"B) September 1, 2023","50,347","52,252","54,156","56,059","60,063"
"Y) September 1, 2023 - Market Adjustment","50,599","52,513","54,427","56,339","60,363"
"C) September 1, 2024","51,611","53,563","55,516","57,466","61,570"
"Z) September 1, 2024 - Wage Adjustment","51,740","53,697","55,655","57,610","61,724"
"D) September 1, 2025","52,775","54,771","56,768","58,762","62,958"

# EL-02: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021","52,001","53,993","58,301","62,609","67,084"
"A) September 1, 2022","53,821","55,883","60,342","64,800","69,432"
"X) September 1, 2022 - Wage Adjustment","54,494","56,582","61,096","65,610","70,300"
"B) September 1, 2023","56,129","58,279","62,929","67,578","72,409"
"Y) September 1, 2023 - Market Adjustment","56,410","58,570","63,244","67,916","72,771"
"C) September 1, 2024","57,538","59,741","64,509","69,274","74,226"
"Z) September 1, 2024 - Wage Adjustment","57,682","59,890","64,670","69,447","74,412"
"D) September 1, 2025","58,836","61,088","65,963","70,836","75,900"

# EL-03: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021","57,759","59,965","64,740","69,521","74,487"
"A) September 1, 2022","59,781","62,064","67,006","71,954","77,094"
"X) September 1, 2022 - Wage Adjustment","60,528","62,840","67,844","72,853","78,058"
"B) September 1, 2023","62,344","64,725","69,879","75,039","80,400"
"Y) September 1, 2023 - Market Adjustment","62,656","65,049","70,228","75,414","80,802"
"C) September 1, 2024","63,909","66,350","71,633","76,922","82,418"
"Z) September 1, 2024 - Wage Adjustment","64,069","66,516","71,812","77,114","82,624"
"D) September 1, 2025","65,350","67,846","73,248","78,656","84,276"

# EL-04: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","64,387","66,854","69,336","71,815","74,688","79,715"
"A) September 1, 2022","66,641","69,194","71,763","74,329","77,302","82,505"
"X) September 1, 2022 - Wage Adjustment","67,474","70,059","72,660","75,258","78,268","83,536"
"B) September 1, 2023","69,498","72,161","74,840","77,516","80,616","86,042"
"Y) September 1, 2023 - Market Adjustment","69,845","72,522","75,214","77,904","81,019","86,472"
"C) September 1, 2024","71,242","73,972","76,718","79,462","82,639","88,201"
"Z) September 1, 2024 - Wage Adjustment","71,420","74,157","76,910","79,661","82,846","88,422"
"D) September 1, 2025","72,848","75,640","78,448","81,254","84,503","90,190"

# EL-05: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","71,390","74,151","76,899","79,647","82,835","88,411"
"A) September 1, 2022","73,889","76,746","79,590","82,435","85,734","91,505"
"X) September 1, 2022 - Wage Adjustment","74,813","77,705","80,585","83,465","86,806","92,649"
"B) September 1, 2023","77,057","80,036","83,003","85,969","89,410","95,428"
"Y) September 1, 2023 - Market Adjustment","77,442","80,436","83,418","86,399","89,857","95,905"
"C) September 1, 2024","78,991","82,045","85,086","88,127","91,654","97,823"
"Z) September 1, 2024 - Wage Adjustment","79,188","82,250","85,299","88,347","91,883","98,068"
"D) September 1, 2025","80,772","83,895","87,005","90,114","93,721","100,029"

# EL-06: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","78,787","81,842","84,899","87,957","91,477","97,637"
"A) September 1, 2022","81,545","84,706","87,870","91,035","94,679","101,054"
"X) September 1, 2022 - Wage Adjustment","82,564","85,765","88,968","92,173","95,862","102,317"
"B) September 1, 2023","85,041","88,338","91,637","94,938","98,738","105,387"
"Y) September 1, 2023 - Market Adjustment","85,466","88,780","92,095","95,413","99,232","105,914"
"C) September 1, 2024","87,175","90,556","93,937","97,321","101,217","108,032"
"Z) September 1, 2024 - Wage Adjustment","87,393","90,782","94,172","97,564","101,470","108,302"
"D) September 1, 2025","89,141","92,598","96,055","99,515","103,499","110,468"

# EL-07: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","86,319","89,510","92,711","95,905","99,743","106,455"
"A) September 1, 2022","89,340","92,643","95,956","99,262","103,234","110,181"
"X) September 1, 2022 - Wage Adjustment","90,457","93,801","97,155","100,503","104,524","111,558"
"B) September 1, 2023","93,171","96,615","100,070","103,518","107,660","114,905"
"Y) September 1, 2023 - Market Adjustment","93,637","97,098","100,570","104,036","108,198","115,480"
"C) September 1, 2024","95,510","99,040","102,581","106,117","110,362","117,790"
"Z) September 1, 2024 - Wage Adjustment","95,749","99,288","102,837","106,382","110,638","118,084"
"D) September 1, 2025","97,664","101,274","104,894","108,510","112,851","120,446"

# EL-08: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
