# AR 01: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Range / Step 1
"$) October 1, 2021","43,400 to 64,639"
"A) October 1, 2022","44,919 to 66,901"
"X) October 1, 2022 – wage adjustment","45,480 to 67,737"
"B) October 1, 2023","46,844 to 69,769"
"Y) October 1, 2023 – pay line adjustment","47,078 to 70,118"
"C) October 1, 2024","48,020 to 71,520"
"Z) October 1, 2024 – wage adjustment","48,140 to 71,699"
"D) October 1, 2025","49,103 to 73,133"

# AR‑02: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","68,838","71,606","74,367","77,118","79,881","82,641"
"A) October 1, 2022","71,247","74,112","76,970","79,817","82,677","85,533"
"X) October 1, 2022 – wage adjustment","72,138","75,038","77,932","80,815","83,710","86,602"
"B) October 1, 2023","74,302","77,289","80,270","83,239","86,221","89,200"
"Y) October 1, 2023 – pay line adjustment","74,674","77,675","80,671","83,655","86,652","89,646"
"C) October 1, 2024","76,167","79,229","82,284","85,328","88,385","91,439"
"Z) October 1, 2024 – wage adjustment","76,357","79,427","82,490","85,541","88,606","91,668"
"D) October 1, 2025","77,884","81,016","84,140","87,252","90,378","93,501"

# AR‑03: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","84,469","87,571","90,658","93,742","96,223","98,697"
"A) October 1, 2022","87,425","90,636","93,831","97,023","99,591","102,151"
"X) October 1, 2022 – wage adjustment","88,518","91,769","95,004","98,236","100,836","103,428"
"B) October 1, 2023","91,174","94,522","97,854","101,183","103,861","106,531"
"Y) October 1, 2023 – pay line adjustment","91,630","94,995","98,343","101,689","104,380","107,064"
"C) October 1, 2024","93,463","96,895","100,310","103,723","106,468","109,205"
"Z) October 1, 2024 – wage adjustment","93,697","97,137","100,561","103,982","106,734","109,478"
"D) October 1, 2025","95,571","99,080","102,572","106,062","108,869","111,668"

# AR‑04: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","95,851","99,228","102,604","105,978","108,767","111,554"
"A) October 1, 2022","99,206","102,701","106,195","109,687","112,574","115,458"
"X) October 1, 2022 – wage adjustment","100,446","103,985","107,522","111,058","113,981","116,901"
"B) October 1, 2023","103,459","107,105","110,748","114,390","117,400","120,408"
"Y) October 1, 2023 – pay line adjustment","103,976","107,641","111,302","114,962","117,987","121,010"
"C) October 1, 2024","106,056","109,794","113,528","117,261","120,347","123,430"
"Z) October 1, 2024 – wage adjustment","106,321","110,068","113,812","117,554","120,648","123,739"
"D) October 1, 2025","108,447","112,269","116,088","119,905","123,061","126,214"

# AR‑05: annual rates of pay (in dollars)
# Section: Appendix “A”
