# RO-00 - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) May 1, 2021","31,059","31,682","32,308","32,909","33,513","34,116",N/A
"A) May 1, 2022","31,913","32,553","33,196","33,814","34,435","35,054",N/A
"X) May 1, 2022 - Wage Adjustment","32,312","32,960","33,611","34,237","34,865","35,492",N/A
"B) May 1, 2023","33,120","33,784","34,451","35,093","35,737","36,379",N/A
Y) New Step 7,"33,120","33,784","34,451","35,093","35,737","36,379","37,834"
"C) May 1, 2024","33,782","34,460","35,140","35,795","36,452","37,107","38,591"
"Z) May 1, 2024 - Wage Adjustment","33,866","34,546","35,228","35,884","36,543","37,200","38,687"
"D) May 1, 2025","34,543","35,237","35,933","36,602","37,274","37,944","39,461"

# RO-01 - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) May 1, 2021","45,590","48,939","52,291","55,642","58,995","62,345",N/A
"A) May 1, 2022","46,844","50,285","53,729","57,172","60,617","64,059",N/A
"X) May 1, 2022 - Wage Adjustment","47,430","50,914","54,401","57,887","61,375","64,860",N/A
"B) May 1, 2023","48,616","52,187","55,761","59,334","62,909","66,482",N/A
Y) New Step 7,"48,616","52,187","55,761","59,334","62,909","66,482","69,141"
"C) May 1, 2024","49,588","53,231","56,876","60,521","64,167","67,812","70,524"
"Z) May 1, 2024 - Wage Adjustment","49,712","53,364","57,018","60,672","64,327","67,982","70,700"
"D) May 1, 2025","50,706","54,431","58,158","61,885","65,614","69,342","72,114"

# RO-02 - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) May 1, 2021","52,262","54,868","57,472","60,077","62,681","65,289",N/A
"A) May 1, 2022","53,699","56,377","59,052","61,729","64,405","67,084",N/A
"X) May 1, 2022 - Wage Adjustment","54,370","57,082","59,790","62,501","65,210","67,923",N/A
"B) May 1, 2023","55,729","58,509","61,285","64,064","66,840","69,621",N/A
Y) New Step 7,"55,729","58,509","61,285","64,064","66,840","69,621","72,406"
"C) May 1, 2024","56,844","59,679","62,511","65,345","68,177","71,013","73,854"
"Z) May 1, 2024 - Wage Adjustment","56,986","59,828","62,667","65,508","68,347","71,191","74,039"
"D) May 1, 2025","58,126","61,025","63,920","66,818","69,714","72,615","75,520"

# RO-03 - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) May 1, 2021","58,392","61,934","65,473","69,009","72,549","76,088",N/A
"A) May 1, 2022","59,998","63,637","67,274","70,907","74,544","78,180",N/A
"X) May 1, 2022 - Wage Adjustment","60,748","64,432","68,115","71,793","75,476","79,157",N/A
"B) May 1, 2023","62,267","66,043","69,818","73,588","77,363","81,136",N/A
Y) New Step 7,"62,267","66,043","69,818","73,588","77,363","81,136","84,381"
"C) May 1, 2024","63,512","67,364","71,214","75,060","78,910","82,759","86,069"
"Z) May 1, 2024 - Wage Adjustment","63,671","67,532","71,392","75,248","79,107","82,966","86,284"
"D) May 1, 2025","64,944","68,883","72,820","76,753","80,689","84,625","88,010"

# RO-04 - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) May 1, 2021","63,098","66,971","70,848","74,720","78,594","82,469",N/A
"A) May 1, 2022","64,833","68,813","72,796","76,775","80,755","84,737",N/A
"X) May 1, 2022 - Wage Adjustment","65,643","69,673","73,706","77,735","81,764","85,796",N/A
"B) May 1, 2023","67,284","71,415","75,549","79,678","83,808","87,941",N/A
Y) New Step 7,"67,284","71,415","75,549","79,678","83,808","87,941","91,459"
"C) May 1, 2024","68,630","72,843","77,060","81,272","85,484","89,700","93,288"
"Z) May 1, 2024 - Wage Adjustment","68,802","73,025","77,253","81,475","85,698","89,924","93,521"
"D) May 1, 2025","70,178","74,486","78,798","83,105","87,412","91,722","95,391"

# RO-04 Instructor - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) May 1, 2021","67,244","71,153","75,061","78,969","82,874","86,785",N/A
"A) May 1, 2022","69,093","73,110","77,125","81,141","85,153","89,172",N/A
"X) May 1, 2022 - Wage Adjustment","69,957","74,024","78,089","82,155","86,217","90,287",N/A
"B) May 1, 2023","71,706","75,875","80,041","84,209","88,372","92,544",N/A
Y) New Step 7,"71,706","75,875","80,041","84,209","88,372","92,544","96,246"
"C) May 1, 2024","73,140","77,393","81,642","85,893","90,139","94,395","98,171"
"Z) May 1, 2024 - Wage Adjustment","73,323","77,586","81,846","86,108","90,364","94,631","98,416"
"D) May 1, 2025","74,789","79,138","83,483","87,830","92,171","96,524","100,384"

# RO-05 - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) May 1, 2021","68,276","72,520","76,761","81,004","85,246","89,492",N/A
"A) May 1, 2022","70,154","74,514","78,872","83,232","87,590","91,953",N/A
"X) May 1, 2022 - Wage Adjustment","71,031","75,445","79,858","84,272","88,685","93,102",N/A
"B) May 1, 2023","72,807","77,331","81,854","86,379","90,902","95,430",N/A
Y) New Step 7,"72,807","77,331","81,854","86,379","90,902","95,430","99,247"
"C) May 1, 2024","74,263","78,878","83,491","88,107","92,720","97,339","101,232"
"Z) May 1, 2024 - Wage Adjustment","74,449","79,075","83,700","88,327","92,952","97,582","101,485"
"D) May 1, 2025","75,938","80,657","85,374","90,094","94,811","99,534","103,515"

# RO-06 - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) May 1, 2021","75,426","80,310","85,191","90,074","94,957","99,843",N/A
"A) May 1, 2022","77,500","82,519","87,534","92,551","97,568","102,589",N/A
"X) May 1, 2022 - Wage Adjustment","78,469","83,550","88,628","93,708","98,788","103,871",N/A
"B) May 1, 2023","80,431","85,639","90,844","96,051","101,258","106,468",N/A
Y) New Step 7,"80,431","85,639","90,844","96,051","101,258","106,468","110,727"
"C) May 1, 2024","82,040","87,352","92,661","97,972","103,283","108,597","112,942"
"Z) May 1, 2024 - Wage Adjustment","82,245","87,570","92,893","98,217","103,541","108,868","113,224"
"D) May 1, 2025","83,890","89,321","94,751","100,181","105,612","111,045","115,488"

"# RO-00 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,619.29,631.71,644.19,656.18,668.22,680.24
Daily:,123.86,126.34,128.84,131.24,133.64,136.05
Hourly:,16.51,16.85,17.18,17.50,17.82,18.14

"# RO-01 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,909.04,975.81,1042.64,1109.46,1176.31,1243.10
Daily:,181.81,195.16,208.53,221.89,235.26,248.62
Hourly:,24.24,26.02,27.80,29.59,31.37,33.15

"# RO-02 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1042.05,1094.03,1145.93,1197.89,1249.81,1301.81
Daily:,208.41,218.81,229.19,239.58,249.96,260.36
Hourly:,27.79,29.17,30.56,31.94,33.33,34.71

"# RO-03 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1164.29,1234.90,1305.49,1375.98,1446.57,1517.12
Daily:,232.86,246.98,261.10,275.20,289.31,303.42
Hourly:,31.05,32.93,34.81,36.69,38.58,40.46

"# RO-04 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1258.11,1335.35,1412.64,1489.86,1567.08,1644.36
