# SO-MAO-TO: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) April 1, 2017",26.04,26.95,27.88,28.87,29.89
"A) April 1, 2018",26.77,27.70,28.66,29.68,30.73
"B) April 1, 2019",27.36,28.31,29.29,30.33,31.41
"C) April 1, 2020",27.77,28.73,29.73,30.78,31.88
"D) April 1, 2021",28.19,29.16,30.18,31.24,32.36
"E) April 1, 2022",29.18,30.18,31.24,32.33,33.49
"W) April 1, 2022 : wage adjustment",29.54,30.56,31.63,32.73,33.91
"F) April 1, 2023",30.43,31.48,32.58,33.71,34.93
"X) December 21, 2023 : market adjustment",31.65,32.74,33.88,35.06,36.33
"G) April 1, 2024",32.28,33.39,34.56,35.76,37.06
"Y) April 1, 2024 : wage adjustment",32.36,33.47,34.65,35.85,37.15
"Z) April 1, 2025",33.01,34.14,35.34,36.57,37.89

# SO-MAO-1: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) April 1, 2017",27.97,28.97,29.98,31.02,32.12
"A) April 1, 2018",28.75,29.78,30.82,31.89,33.02
"B) April 1, 2019",29.38,30.44,31.50,32.59,33.75
"C) April 1, 2020",29.82,30.90,31.97,33.08,34.26
"D) April 1, 2021",30.27,31.36,32.45,33.58,34.77
"E) April 1, 2022",31.33,32.46,33.59,34.76,35.99
"W) April 1, 2022 : wage adjustment",31.72,32.87,34.01,35.19,36.44
"F) April 1, 2023",32.67,33.86,35.03,36.25,37.53
"X) December 21, 2023 : market adjustment",33.98,35.21,36.43,37.70,39.03
"G) April 1, 2024",34.66,35.91,37.16,38.45,39.81
"Y) April 1, 2024 : wage adjustment",34.75,36.00,37.25,38.55,39.91
"Z) April 1, 2025",35.45,36.72,38.00,39.32,40.71

# SO-MAO-2: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",31.86,32.98,34.15,35.35
"A) April 1, 2018",32.75,33.90,35.11,36.34
"B) April 1, 2019",33.47,34.65,35.88,37.14
"C) April 1, 2020",33.97,35.17,36.42,37.70
"D) April 1, 2021",34.48,35.70,36.97,38.27
"E) April 1, 2022",35.69,36.95,38.26,39.61
"W) April 1, 2022 : wage adjustment",36.14,37.41,38.74,40.11
"F) April 1, 2023",37.22,38.53,39.90,41.31
"X) December 21, 2023 : market adjustment",38.71,40.07,41.50,42.96
"G) April 1, 2024",39.48,40.87,42.33,43.82
"Y) April 1, 2024 : wage adjustment",39.58,40.97,42.44,43.93
"Z) April 1, 2025",40.37,41.79,43.29,44.81

# SO-MAO-3: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",33.02,34.53,35.73,36.99
"A) April 1, 2018",33.94,35.50,36.73,38.03
"B) April 1, 2019",34.69,36.28,37.54,38.87
"C) April 1, 2020",35.21,36.82,38.10,39.45
"D) April 1, 2021",35.74,37.37,38.67,40.04
"E) April 1, 2022",36.99,38.68,40.02,41.44
"W) April 1, 2022 : wage adjustment",37.45,39.16,40.52,41.96
"F) April 1, 2023",38.57,40.33,41.74,43.22
"X) December 21, 2023 : market adjustment",40.11,41.94,43.41,44.95
"G) April 1, 2024",40.91,42.78,44.28,45.85
"Y) April 1, 2024 : wage adjustment",41.01,42.89,44.39,45.96
"Z) April 1, 2025",41.83,43.75,45.28,46.88

# SO-MAO-4: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",35.01,36.48,37.77,39.10
"A) April 1, 2018",35.99,37.50,38.83,40.19
"B) April 1, 2019",36.78,38.33,39.68,41.07
"C) April 1, 2020",37.33,38.90,40.28,41.69
"D) April 1, 2021",37.89,39.48,40.88,42.32
