# Section: Part V: pay and duration
The Treasury Board of Canada,The Federal Government Dockyard Chargehands Association
Carole Bidal Marc Bernard Martin Pinna Giuseppe Di Raimo Capt(N) Eric McCallum Derek Cann Ben Killam Lenny MacArthur,Wanda Boudreau Anthony Casella Chris Conrod Patrick Bennett Barry Ollerhead

# SR CPS1 annual rates of pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4
">$) Effective April 1, 2021","94,490","98,271","103,182","108,343"
">A) Effective April 1, 2022","97,797","101,710","106,793","112,135"
">X) Pay line adjustment effective April 1, 2022","99,019","102,981","108,128","113,537"
"B) Effective April 1, 2023","101,990","106,070","111,372","116,943"
"Y) Pay line adjustment effective April 1, 2023","102,500","106,600","111,929","117,528"
"C) Effective April 1, 2024","104,550","108,732","114,168","119,879"
"W) Wage adjustment effective April 1, 2024","104,811","109,004","114,453","120,179"
"D) Effective April 1, 2025","106,907","111,184","116,742","122,583"
"Z) Effective April 22, 2025","106,907","111,184","116,742","123,105"
For clarification purposes SR-MGT-01 employees are paid in the SR-CPS-01 rates of pay.

