# Pay Group 1 Basic hourly rates of pay (in dollars)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",30.12,31.33,32.60
"A) January 1, 2023 table 1 note *",31.17,32.43,33.74
"X) January 1, 2023 - pay line adjustment table 1 note *",31.56,32.84,34.16
"B) January 1, 2024 table 1 note *",32.51,33.83,35.18
"Y) January 1, 2024 - pay line adjustment table 1 note *",32.67,34.00,35.36
"C) January 1, 2025 table 1 note *",33.32,34.68,36.07
"Z) January 1, 2025 - wage adjustment table 1 note *",33.40,34.77,36.16
"D) January 1, 2026",34.07,35.47,36.88
"Table 1 Notes Table 1 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 1 note * referrer"

# Pay Group 2 Basic hourly rates of pay (in dollars) ELE-2 Trades Helper
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",31.59,32.91,34.21
"A) January 1, 2023 table 2 note *",32.70,34.06,35.41
"X) January 1, 2023 - pay line adjustment table 2 note *",33.11,34.49,35.85
"B) January 1, 2024 table 2 note *",34.10,35.52,36.93
"Y) January 1, 2024 - pay line adjustment table 2 note *",34.27,35.70,37.11
"C) January 1, 2025 table 2 note *",34.96,36.41,37.85
"Z) January 1, 2025 - wage adjustment table 2 note *",35.05,36.50,37.94
"D) January 1, 2026",35.75,37.23,38.70
"Table 2 Notes Table 2 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 2 note * referrer"

# Pay Group 3 Basic hourly rates of pay (in dollars) MDO-4 Forklift Operator
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",33.46,34.80,36.17
"A) January 1, 2023 table 3 note *",34.63,36.02,37.44
"X) January 1, 2023 - pay line adjustment table 3 note *",35.06,36.47,37.91
"B) January 1, 2024 table 3 note *",36.11,37.56,39.05
"Y) January 1, 2024 - pay line adjustment table 3 note *",36.29,37.75,39.25
"C) January 1, 2025 table 3 note *",37.02,38.51,40.04
"Z) January 1, 2025 - wage adjustment table 3 note *",37.11,38.61,40.14
"D) January 1, 2026",37.85,39.38,40.94
"Table 3 Notes Table 3 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 3 note * referrer"

# Pay Group 4 Basic hourly rates of pay (in dollars) MDO-5 Stationary Engineer Hoisting Plant Operator (OEBI) and Forklift
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",37.19,38.64,40.23
"A) January 1, 2023 table 4 note *",38.49,39.99,41.64
"X) January 1, 2023 - pay line adjustment table 4 note *",38.97,40.49,42.16
"B) January 1, 2024 table 4 note *",40.14,41.70,43.42
"Y) January 1, 2024 - pay line adjustment table 4 note *",40.34,41.91,43.64
"C) January 1, 2025 table 4 note *",41.15,42.75,44.51
"Z) January 1, 2025 - wage adjustment table 4 note *",41.25,42.86,44.62
"D) January 1, 2026",42.08,43.72,45.51
"Table 4 Notes Table 4 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 4 note * referrer"

# Pay Group 5 Basic hourly rates of pay (in dollars)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",38.26,39.80,41.36
"A) January 1, 2023 table 5 note *",39.60,41.19,42.81
"X) January 1, 2023 - pay line adjustment table 5 note *",40.10,41.70,43.35
"B) January 1, 2024 table 5 note *",41.30,42.95,44.65
"Y) January 1, 2024 - pay line adjustment table 5 note *",41.51,43.16,44.87
"C) January 1, 2025 table 5 note *",42.34,44.02,45.77
"Z) January 1, 2025 - wage adjustment table 5 note *",42.45,44.13,45.88
"D) January 1, 2026",43.30,45.01,46.80
"Table 5 Notes Table 5 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 5 note * referrer"

# Pay Group 6 Basic hourly rates of pay (in dollars) PRW-4 Sail and Canvas Worker MAN-6 Marine Insulator SPS-6 Chemical Treatment Technician SPS-6 Marine Treatment Finishing Specialist SPS-7 Metal Finisher Technician PRW-6 Marine Survival Technician MAN-7 Combination Welder MDO-6 Stationary Engineer: Hoisting Plant Operator PIP-8 Marine Pipefitter Coppersmith PRW-8 Rigging SMW-8 Sheet Metal Technician WOW-8 Shipwright BOB-9 Boiler & Plate Tech. MAC-9 Machinist MAM-9 Maintenance Mechanic (Refrig)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",39.34,40.91,42.55
"A) January 1, 2023 table 6 note *",40.72,42.34,44.04
"W) January 1, 2023 - pay line adjustment table 6 note *",41.23,42.87,44.59
"B) January 1, 2024 table 6 note *",42.47,44.16,45.93
"X) January 1, 2024 - pay line adjustment table 6 note *",42.68,44.38,46.16
"C) January 1, 2025 table 6 note *",43.53,45.27,47.08
"Y) January 1, 2025 - wage adjustment table 6 note *",43.64,45.38,47.20
"Z) April 8, 2025 - wage adjustment table 6 note *",43.94,45.68,47.50
"D) January 1, 2026",44.82,46.59,48.45
